ID,CPF,DATA_CONSULTA,CUSTO_CONSULTA,DESCRICAO_TRATAMENTO,NOME_DENTISTA,OUT_OF_RANGE,TREATMENT_ENCODED,DENTIST_ENCODED
162,10138926104,2023-06-12,440,Implantodontia,Dr. Oliveira,1,1,0
291,10278330520,2023-10-19,1385,Implantodontia,Dr. Santos,1,1,1
46,10445791473,2023-02-16,860,Tratamento de Canal,Dr. Silva,0,4,2
454,10498015191,2024-03-30,253,Restauração Dentária,Dra. Pereira,0,2,4
174,10591153476,2023-06-24,412,Restauração Dentária,Dra. Pereira,0,2,4
353,10689044704,2023-12-20,596,Implantodontia,Dr. Silva,1,1,2
241,10754362870,2023-08-30,963,Implantodontia,Dr. Silva,1,1,2
304,11121192054,2023-11-01,834,Clareamento Dental,Dr. Santos,1,0,1
285,11263721654,2023-10-13,1737,Tratamento de Canal,Dra. Pereira,1,4,4
411,11623542723,2024-02-16,486,Clareamento Dental,Dr. Silva,0,0,2
238,12137114774,2023-08-27,1132,Tratamento de Canal,Dr. Santos,1,4,1
31,12809993601,2023-02-01,1485,Implantodontia,Dra. Pereira,1,1,4
197,13171804947,2023-07-17,312,Implantodontia,Dra. Pereira,1,1,4
108,13270356709,2023-04-19,2890,Tratamento Periodontal,Dr. Santos,1,3,1
398,13505357770,2024-02-03,1136,Tratamento Periodontal,Dra. Pereira,0,3,4
201,13543942252,2023-07-21,629,Implantodontia,Dr. Santos,1,1,1
252,13749649967,2023-09-10,2277,Implantodontia,Dr. Oliveira,0,1,0
148,14096734103,2023-05-29,1631,Clareamento Dental,Dr. Silva,1,0,2
91,14398252731,2023-04-02,639,Tratamento Periodontal,Dr. Santos,0,3,1
328,14466967322,2023-11-25,2172,Tratamento de Canal,Dr. Oliveira,1,4,0
57,14531310181,2023-02-27,563,Restauração Dentária,Dra. Mendes,0,2,3
324,14533229201,2023-11-21,456,Restauração Dentária,Dra. Mendes,0,2,3
9,14590873311,2023-01-10,2887,Tratamento Periodontal,Dra. Pereira,1,3,4
370,14751111209,2024-01-06,1389,Restauração Dentária,Dr. Silva,0,2,2
155,14782522773,2023-06-05,1726,Tratamento Periodontal,Dra. Pereira,1,3,4
332,14787803046,2023-11-29,2241,Tratamento Periodontal,Dr. Oliveira,1,3,0
253,14847608762,2023-09-11,702,Restauração Dentária,Dra. Pereira,0,2,4
55,14923239377,2023-02-25,675,Tratamento Periodontal,Dra. Pereira,0,3,4
111,15187222398,2023-04-22,579,Tratamento de Canal,Dra. Pereira,0,4,4
465,15211613337,2024-04-10,898,Tratamento de Canal,Dr. Santos,0,4,1
373,15701117449,2024-01-09,574,Clareamento Dental,Dra. Mendes,0,0,3
445,15759722102,2024-03-21,981,Tratamento Periodontal,Dr. Silva,0,3,2
129,15906772222,2023-05-10,1988,Clareamento Dental,Dr. Silva,1,0,2
189,16369329293,2023-07-09,598,Tratamento de Canal,Dr. Silva,0,4,2
209,16729570235,2023-07-29,2335,Implantodontia,Dra. Pereira,0,1,4
103,16734779963,2023-04-14,381,Restauração Dentária,Dr. Silva,0,2,2
393,17299449387,2024-01-29,2594,Clareamento Dental,Dr. Silva,1,0,2
203,17605232501,2023-07-23,2861,Restauração Dentária,Dr. Silva,1,2,2
216,17912540997,2023-08-05,926,Tratamento Periodontal,Dr. Santos,0,3,1
182,18818908918,2023-07-02,258,Clareamento Dental,Dr. Santos,1,0,1
414,19488996496,2024-02-19,408,Tratamento Periodontal,Dr. Silva,0,3,2
135,19635106145,2023-05-16,1194,Restauração Dentária,Dra. Pereira,0,2,4
239,19765465692,2023-08-28,888,Restauração Dentária,Dra. Pereira,0,2,4
341,20123940116,2023-12-08,1267,Implantodontia,Dr. Silva,1,1,2
202,20270957656,2023-07-22,952,Tratamento Periodontal,Dra. Mendes,0,3,3
130,20487229515,2023-05-11,1477,Tratamento de Canal,Dr. Silva,1,4,2
86,20539151679,2023-03-28,1980,Clareamento Dental,Dra. Pereira,1,0,4
441,20707228882,2024-03-17,838,Tratamento de Canal,Dr. Santos,0,4,1
120,21739015776,2023-05-01,726,Clareamento Dental,Dr. Oliveira,1,0,0
70,21776541229,2023-03-12,581,Clareamento Dental,Dr. Santos,0,0,1
223,21886724559,2023-08-12,2512,Implantodontia,Dr. Silva,0,1,2
269,22085770678,2023-09-27,1916,Restauração Dentária,Dra. Pereira,1,2,4
423,22162376465,2024-02-28,1518,Implantodontia,Dra. Mendes,0,1,3
25,22336076721,2023-01-26,1310,Restauração Dentária,Dr. Santos,0,2,1
113,22342438675,2023-04-24,557,Clareamento Dental,Dr. Silva,0,0,2
488,22627138869,2024-05-03,1565,Tratamento Periodontal,Dr. Santos,1,3,1
295,22983918477,2023-10-23,1276,Implantodontia,Dr. Silva,1,1,2
387,23202004751,2024-01-23,1329,Tratamento de Canal,Dra. Mendes,1,4,3
347,23386472946,2023-12-14,505,Tratamento de Canal,Dr. Silva,0,4,2
357,23708845468,2023-12-24,1025,Clareamento Dental,Dr. Santos,1,0,1
380,23943610647,2024-01-16,2910,Restauração Dentária,Dr. Santos,1,2,1
128,24507011155,2023-05-09,942,Clareamento Dental,Dr. Oliveira,1,0,0
66,24629644113,2023-03-08,2333,Clareamento Dental,Dr. Santos,1,0,1
112,24851566207,2023-04-23,729,Tratamento de Canal,Dr. Santos,0,4,1
321,24947065373,2023-11-18,1704,Tratamento Periodontal,Dra. Mendes,1,3,3
323,25378753787,2023-11-20,678,Restauração Dentária,Dra. Mendes,0,2,3
376,25446411521,2024-01-12,671,Tratamento Periodontal,Dr. Oliveira,0,3,0
444,25475080374,2024-03-20,975,Restauração Dentária,Dra. Mendes,0,2,3
448,25629001461,2024-03-24,257,Tratamento Periodontal,Dr. Oliveira,1,3,0
264,25748249914,2023-09-22,622,Implantodontia,Dra. Pereira,1,1,4
139,26249250134,2023-05-20,957,Tratamento Periodontal,Dra. Pereira,0,3,4
497,26729731644,2024-05-12,450,Restauração Dentária,Dr. Oliveira,0,2,0
472,26921646544,2024-04-17,708,Tratamento de Canal,Dr. Oliveira,0,4,0
400,27348247051,2024-02-05,487,Tratamento Periodontal,Dr. Oliveira,0,3,0
164,27374689430,2023-06-14,2178,Tratamento de Canal,Dr. Oliveira,1,4,0
149,27643065384,2023-05-30,1771,Tratamento de Canal,Dra. Mendes,1,4,3
366,27727869214,2024-01-02,966,Implantodontia,Dr. Oliveira,1,1,0
36,27840809465,2023-02-06,2692,Tratamento Periodontal,Dr. Silva,1,3,2
336,28896679994,2023-12-03,1207,Tratamento Periodontal,Dra. Mendes,0,3,3
494,29223899301,2024-05-09,2741,Tratamento de Canal,Dr. Oliveira,1,4,0
185,29525773863,2023-07-05,456,Clareamento Dental,Dr. Oliveira,0,0,0
26,29707486655,2023-01-27,1719,Implantodontia,Dr. Oliveira,0,1,0
395,30207710326,2024-01-31,456,Tratamento Periodontal,Dr. Silva,0,3,2
17,30258535521,2023-01-18,446,Restauração Dentária,Dr. Santos,0,2,1
97,30652945609,2023-04-08,814,Clareamento Dental,Dr. Santos,1,0,1
74,31911275267,2023-03-16,339,Implantodontia,Dra. Pereira,1,1,4
38,32699019599,2023-02-08,289,Implantodontia,Dr. Santos,1,1,1
63,32940009407,2023-03-05,592,Clareamento Dental,Dr. Santos,0,0,1
132,33069412749,2023-05-13,493,Tratamento de Canal,Dr. Santos,0,4,1
363,33231446982,2023-12-30,2439,Clareamento Dental,Dra. Pereira,1,0,4
350,33650776324,2023-12-17,2184,Tratamento Periodontal,Dra. Pereira,1,3,4
12,33743248250,2023-01-13,895,Tratamento de Canal,Dra. Pereira,0,4,4
213,34144863490,2023-08-02,1135,Tratamento Periodontal,Dra. Mendes,0,3,3
273,34464537371,2023-10-01,1027,Clareamento Dental,Dr. Santos,1,0,1
105,34592711333,2023-04-16,2715,Clareamento Dental,Dr. Oliveira,1,0,0
207,34655876319,2023-07-27,1343,Tratamento Periodontal,Dra. Mendes,0,3,3
450,34690610046,2024-03-26,672,Clareamento Dental,Dra. Pereira,0,0,4
296,34737601326,2023-10-24,2487,Tratamento de Canal,Dra. Pereira,1,4,4
237,34784119170,2023-08-26,2003,Clareamento Dental,Dr. Santos,1,0,1
389,35444007973,2024-01-25,454,Implantodontia,Dra. Mendes,1,1,3
492,36023086240,2024-05-07,695,Clareamento Dental,Dr. Oliveira,0,0,0
45,36965217934,2023-02-15,469,Tratamento de Canal,Dra. Mendes,0,4,3
459,37787931755,2024-04-04,408,Clareamento Dental,Dra. Mendes,0,0,3
334,37798167401,2023-12-01,1399,Tratamento de Canal,Dr. Oliveira,1,4,0
88,37838553750,2023-03-30,585,Tratamento de Canal,Dra. Pereira,0,4,4
305,38105461947,2023-11-02,1307,Implantodontia,Dr. Santos,1,1,1
468,38306763908,2024-04-13,2805,Tratamento Periodontal,Dra. Mendes,1,3,3
210,38528835170,2023-07-30,916,Implantodontia,Dr. Santos,1,1,1
170,38743042697,2023-06-20,1687,Clareamento Dental,Dra. Mendes,1,0,3
306,38857605255,2023-11-03,278,Implantodontia,Dra. Pereira,1,1,4
397,39237138430,2024-02-02,1769,Implantodontia,Dr. Oliveira,0,1,0
262,39348202360,2023-09-20,493,Restauração Dentária,Dra. Mendes,0,2,3
199,39580965852,2023-07-19,572,Implantodontia,Dr. Oliveira,1,1,0
455,40071726097,2024-03-31,2733,Implantodontia,Dra. Mendes,0,1,3
451,40557687207,2024-03-27,611,Implantodontia,Dra. Pereira,1,1,4
228,40600972621,2023-08-17,1935,Clareamento Dental,Dra. Pereira,1,0,4
368,41323625426,2024-01-04,466,Clareamento Dental,Dr. Santos,0,0,1
346,41513465137,2023-12-13,1138,Tratamento de Canal,Dr. Silva,1,4,2
217,42266479043,2023-08-06,975,Tratamento de Canal,Dra. Pereira,0,4,4
72,43176285194,2023-03-14,2472,Tratamento Periodontal,Dr. Silva,1,3,2
349,43306189798,2023-12-16,629,Tratamento de Canal,Dra. Pereira,0,4,4
173,43426573720,2023-06-23,1269,Tratamento Periodontal,Dr. Oliveira,0,3,0
375,43450437140,2024-01-11,956,Tratamento Periodontal,Dra. Pereira,0,3,4
329,43452756149,2023-11-26,557,Implantodontia,Dr. Oliveira,1,1,0
