CPF,DATA_CONSULTA,CUSTO_CONSULTA,DESCRICAO_TRATAMENTO,NOME_DENTISTA,OUT_OF_RANGE,DAYS_SINCE_LAST,RECENT_CONSULTATION,TREATMENT_ENCODED,DENTIST_ENCODED,SINISTRO
10138926104,2023-06-12,440,Implantodontia,Dr. Oliveira,1,9999.0,0,1,0,0
10278330520,2023-10-19,1385,Implantodontia,Dr. Santos,1,9999.0,0,1,1,0
10445791473,2023-02-16,860,Tratamento de Canal,Dr. Silva,0,9999.0,0,4,2,0
10498015191,2024-03-30,253,Restauração Dentária,Dra. Pereira,0,9999.0,0,2,4,0
10591153476,2023-06-24,412,Restauração Dentária,Dra. Pereira,0,9999.0,0,2,4,0
10689044704,2023-12-20,596,Implantodontia,Dr. Silva,1,9999.0,0,1,2,0
10754362870,2023-08-30,963,Implantodontia,Dr. Silva,1,9999.0,0,1,2,0
11116575220,2023-03-31,859,Tratamento Periodontal,Dra. Mendes,0,9999.0,0,3,3,1
11121192054,2023-11-01,834,Clareamento Dental,Dr. Santos,1,9999.0,0,0,1,0
11217029612,2024-04-23,411,Tratamento Periodontal,Dra. Pereira,0,9999.0,0,3,4,1
11263721654,2023-10-13,1737,Tratamento de Canal,Dra. Pereira,1,9999.0,0,4,4,0
11623542723,2024-02-16,486,Clareamento Dental,Dr. Silva,0,9999.0,0,0,2,0
11820905132,2023-08-08,444,Implantodontia,Dra. Mendes,1,9999.0,0,1,3,1
11851706731,2023-12-04,2206,Restauração Dentária,Dr. Santos,1,9999.0,0,2,1,1
11891968199,2024-04-21,531,Tratamento Periodontal,Dra. Pereira,0,9999.0,0,3,4,1
12137114774,2023-08-27,1132,Tratamento de Canal,Dr. Santos,1,9999.0,0,4,1,0
12161430569,2023-05-14,918,Clareamento Dental,Dra. Pereira,1,9999.0,0,0,4,1
12503869901,2023-05-17,1046,Restauração Dentária,Dr. Silva,0,9999.0,0,2,2,1
12714764952,2023-07-01,1037,Clareamento Dental,Dra. Mendes,1,9999.0,0,0,3,1
12809993601,2023-02-01,1485,Implantodontia,Dra. Pereira,1,9999.0,0,1,4,0
13171804947,2023-07-17,312,Implantodontia,Dra. Pereira,1,9999.0,0,1,4,0
13270356709,2023-04-19,2890,Tratamento Periodontal,Dr. Santos,1,9999.0,0,3,1,0
13280428557,2024-01-27,2920,Tratamento Periodontal,Dra. Pereira,1,9999.0,0,3,4,1
13505357770,2024-02-03,1136,Tratamento Periodontal,Dra. Pereira,0,9999.0,0,3,4,0
13543942252,2023-07-21,629,Implantodontia,Dr. Santos,1,9999.0,0,1,1,0
13749649967,2023-09-10,2277,Implantodontia,Dr. Oliveira,0,9999.0,0,1,0,0
14096734103,2023-05-29,1631,Clareamento Dental,Dr. Silva,1,9999.0,0,0,2,0
14398252731,2023-04-02,639,Tratamento Periodontal,Dr. Santos,0,9999.0,0,3,1,0
14466967322,2023-11-25,2172,Tratamento de Canal,Dr. Oliveira,1,9999.0,0,4,0,0
14531310181,2023-02-27,563,Restauração Dentária,Dra. Mendes,0,9999.0,0,2,3,0
14533229201,2023-11-21,456,Restauração Dentária,Dra. Mendes,0,9999.0,0,2,3,0
14590873311,2023-01-10,2887,Tratamento Periodontal,Dra. Pereira,1,9999.0,0,3,4,0
14751111209,2024-01-06,1389,Restauração Dentária,Dr. Silva,0,9999.0,0,2,2,0
14782522773,2023-06-05,1726,Tratamento Periodontal,Dra. Pereira,1,9999.0,0,3,4,0
14787803046,2023-11-29,2241,Tratamento Periodontal,Dr. Oliveira,1,9999.0,0,3,0,0
14847608762,2023-09-11,702,Restauração Dentária,Dra. Pereira,0,9999.0,0,2,4,0
14867213352,2023-02-12,1470,Tratamento Periodontal,Dr. Santos,0,9999.0,0,3,1,1
14923239377,2023-02-25,675,Tratamento Periodontal,Dra. Pereira,0,9999.0,0,3,4,0
15187222398,2023-04-22,579,Tratamento de Canal,Dra. Pereira,0,9999.0,0,4,4,0
15211613337,2024-04-10,898,Tratamento de Canal,Dr. Santos,0,9999.0,0,4,1,0
15454360332,2024-03-10,262,Restauração Dentária,Dr. Santos,0,9999.0,0,2,1,1
15701117449,2024-01-09,574,Clareamento Dental,Dra. Mendes,0,9999.0,0,0,3,0
15759722102,2024-03-21,981,Tratamento Periodontal,Dr. Silva,0,9999.0,0,3,2,0
15906772222,2023-05-10,1988,Clareamento Dental,Dr. Silva,1,9999.0,0,0,2,0
16300936161,2023-11-09,522,Implantodontia,Dra. Mendes,1,9999.0,0,1,3,1
16369329293,2023-07-09,598,Tratamento de Canal,Dr. Silva,0,9999.0,0,4,2,0
16586574639,2023-11-16,856,Tratamento de Canal,Dra. Pereira,0,9999.0,0,4,4,1
16729570235,2023-07-29,2335,Implantodontia,Dra. Pereira,0,9999.0,0,1,4,0
16734779963,2023-04-14,381,Restauração Dentária,Dr. Silva,0,9999.0,0,2,2,0
17299449387,2024-01-29,2594,Clareamento Dental,Dr. Silva,1,9999.0,0,0,2,0
17605232501,2023-07-23,2861,Restauração Dentária,Dr. Silva,1,9999.0,0,2,2,0
17676098559,2024-03-28,2206,Implantodontia,Dra. Pereira,0,9999.0,0,1,4,1
17912540997,2023-08-05,926,Tratamento Periodontal,Dr. Santos,0,9999.0,0,3,1,0
18818908918,2023-07-02,258,Clareamento Dental,Dr. Santos,1,9999.0,0,0,1,0
19488996496,2024-02-19,408,Tratamento Periodontal,Dr. Silva,0,9999.0,0,3,2,0
19635106145,2023-05-16,1194,Restauração Dentária,Dra. Pereira,0,9999.0,0,2,4,0
19765465692,2023-08-28,888,Restauração Dentária,Dra. Pereira,0,9999.0,0,2,4,0
19866798330,2023-01-31,512,Restauração Dentária,Dr. Oliveira,0,9999.0,0,2,0,1
19912313678,2024-05-13,1312,Restauração Dentária,Dr. Oliveira,0,9999.0,0,2,0,1
20123940116,2023-12-08,1267,Implantodontia,Dr. Silva,1,9999.0,0,1,2,0
20178655230,2023-01-12,750,Tratamento Periodontal,Dr. Oliveira,0,9999.0,0,3,0,1
20270957656,2023-07-22,952,Tratamento Periodontal,Dra. Mendes,0,9999.0,0,3,3,0
20297954980,2023-08-21,1730,Tratamento Periodontal,Dr. Oliveira,1,9999.0,0,3,0,1
20487229515,2023-05-11,1477,Tratamento de Canal,Dr. Silva,1,9999.0,0,4,2,0
20539151679,2023-03-28,1980,Clareamento Dental,Dra. Pereira,1,9999.0,0,0,4,0
20632520937,2023-01-19,617,Tratamento Periodontal,Dr. Silva,0,9999.0,0,3,2,1
20707228882,2024-03-17,838,Tratamento de Canal,Dr. Santos,0,9999.0,0,4,1,0
21739015776,2023-05-01,726,Clareamento Dental,Dr. Oliveira,1,9999.0,0,0,0,0
21776541229,2023-03-12,581,Clareamento Dental,Dr. Santos,0,9999.0,0,0,1,0
21886724559,2023-08-12,2512,Implantodontia,Dr. Silva,0,9999.0,0,1,2,0
21971199615,2024-01-26,484,Clareamento Dental,Dr. Santos,0,9999.0,0,0,1,1
22085770678,2023-09-27,1916,Restauração Dentária,Dra. Pereira,1,9999.0,0,2,4,0
22162376465,2024-02-28,1518,Implantodontia,Dra. Mendes,0,9999.0,0,1,3,0
22336076721,2023-01-26,1310,Restauração Dentária,Dr. Santos,0,9999.0,0,2,1,0
